time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1166.183694	34.454727	0.716750	0.021717	17
1168.200496	34.467842	0.715357	0.022223	19
1170.218079	34.374813	0.717553	0.022466	21
1172.236433	34.361740	0.721578	0.022743	23
1174.254684	34.359993	0.728259	0.022854	25
1176.273253	34.340065	0.732924	0.023245	27
1178.291815	34.298294	0.738208	0.023611	29
1180.310563	34.262463	0.743766	0.024152	31
1182.328571	34.263256	0.749086	0.024087	33
1184.346429	34.262413	0.754795	0.024373	35
1186.363017	34.291283	0.759449	0.024364	37
1188.380511	34.318405	0.764934	0.024503	39
1190.398312	34.341530	0.769347	0.024176	41
1192.416202	34.427868	0.774463	0.024279	43
1194.434776	34.425526	0.779628	0.024566	45
1196.453392	34.502422	0.782559	0.025308	47
1198.472538	34.535725	0.787435	0.025587	49
1200.490887	34.564018	0.792485	0.025913	51
1202.508685	34.600468	0.797965	0.026303	53
1204.525965	34.524902	0.803865	0.026541	55
1206.543479	34.533245	0.808954	0.026564	57
1208.561786	34.435085	0.815063	0.026809	59
1210.580281	34.487671	0.820337	0.026837	61
1212.598613	34.457161	0.825178	0.027175	63
1214.617221	34.438702	0.832284	0.027365	65
1216.635588	34.439938	0.835866	0.027645	67
1218.654035	34.396935	0.841540	0.027881	69
1220.672738	34.405415	0.843595	0.028099	71
1222.691686	34.367657	0.849241	0.028096	73
1224.710182	34.393311	0.852824	0.028556	75
1226.729144	34.339535	0.857536	0.029004	77
1228.748358	34.338764	0.862586	0.029299	79
1230.767267	34.328060	0.866660	0.029787	81
1232.786414	34.326279	0.872740	0.030052	83
1234.805370	34.389881	0.876271	0.029993	85
1236.824481	34.427166	0.880777	0.029889	87
1238.843403	34.459881	0.885826	0.030120	89
1240.862212	34.469898	0.888607	0.030113	91
1242.880230	34.455139	0.893544	0.030304	93
1244.897556	34.406342	0.898364	0.030651	95
1246.915105	34.420933	0.904185	0.030938	97
1248.932704	34.380787	0.905822	0.031442	99
1250.950674	34.375931	0.911848	0.031703	101
1252.968439	34.402573	0.915856	0.031610	103
