time (s)	coil I (A)	last det (V)	int current (uC)
1538.057100	1.379279	0.481993	688.260010
1538.058039	1.813700	0.481993	2391.324219
1538.058945	1.772878	0.481993	3997.552002
1538.059841	1.719620	0.481993	5538.332031
1538.060810	1.665110	0.481993	7151.823242
1538.061715	1.615646	0.481993	8613.982422
1538.062637	1.568079	0.481993	10059.750977
1538.063554	1.522357	0.481993	11455.751953
1538.064490	1.476573	0.481993	12837.824219
1538.065407	1.433946	0.481993	14152.752930
1538.066305	1.340889	0.481993	15356.871094
1538.067251	0.213845	0.481993	15559.168945
1538.068168	0.095409	0.481993	15646.659180
1538.069074	0.095431	0.481993	15733.119141
1538.069961	0.095486	0.481993	15817.815430
1538.070905	0.095544	0.481993	15908.009766
1538.071804	0.095475	0.481993	15993.841797
1538.072696	0.095519	0.481993	16079.044922
1538.073616	0.095588	0.481993	16166.986328
1538.074528	0.095475	0.481993	16254.059570
1538.075433	0.095500	0.481993	16340.487305
1539.059283	1.332880	0.519863	591.798584
1539.060239	1.814085	0.519863	2326.063477
1539.061152	1.774658	0.519863	3946.326416
1539.062057	1.721495	0.519863	5504.279785
1539.062959	1.669171	0.519863	7009.872070
1539.063892	1.619363	0.519863	8520.737305
1539.064811	1.571228	0.519863	9964.695312
1539.065714	1.526327	0.519863	11342.968750
1539.066647	1.481111	0.519863	12724.844727
1539.067552	1.438466	0.519863	14026.656250
1539.068464	1.388243	0.519863	15292.734375
1539.069361	0.309192	0.519863	15570.079102
1539.070305	0.095490	0.519863	15660.220703
1539.071211	0.095541	0.519863	15746.780273
1539.072103	0.095486	0.519863	15831.954102
1539.073012	0.095479	0.519863	15918.744141
1539.073927	0.095629	0.519863	16006.244141
1539.074840	0.095570	0.519863	16093.500000
1539.075739	0.095511	0.519863	16179.365234
1539.076666	0.095625	0.519863	16268.009766
1539.077567	0.095555	0.519863	16354.105469
1540.077013	1.340519	0.520532	591.168762
1540.077933	1.813052	0.520532	2259.176270
1540.078840	1.776742	0.520532	3870.681152
1540.079784	1.722352	0.520532	5496.581543
1540.080690	1.669830	0.520532	7009.447754
1540.081598	1.620157	0.520532	8480.550781
1540.082491	1.573462	0.520532	9885.652344
1540.083439	1.526550	0.520532	11332.822266
1540.084350	1.482100	0.520532	12683.014648
1540.085258	1.439557	0.520532	13990.131836
1540.086147	1.383450	0.520532	15220.018555
1540.087115	0.287135	0.520532	15497.964844
1540.088023	0.095343	0.520532	15584.536133
1540.088917	0.095493	0.520532	15669.907227
1540.089839	0.095574	0.520532	15758.026367
1540.090742	0.095599	0.520532	15844.352539
1540.091648	0.095511	0.520532	15930.885742
1540.092538	0.095515	0.520532	16015.894531
1540.093499	0.095643	0.520532	16107.807617
1540.094395	0.095479	0.520532	16193.356445
1540.095292	0.095530	0.520532	16279.046875
1541.077891	1.398831	0.547344	686.825806
1541.078813	1.813151	0.547344	2358.550781
1541.079748	1.772307	0.547344	4015.657959
1541.080646	1.718617	0.547344	5558.976074
1541.081609	1.664520	0.547344	7161.909180
1541.082527	1.615082	0.547344	8644.554687
