time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
1868.083454	46.400978	16.331495	2.841196	188
1868.083454	46.400978	16.331495	2.841196	189
1869.086842	49.095161	16.338728	3.004834	190
1870.102774	48.678913	16.286205	2.988966	191
1871.106168	51.487823	16.317923	3.155293	192
1872.121597	50.439404	16.314247	3.091740	193
1873.125236	51.925865	16.258217	3.193823	194
1874.137730	48.603008	16.328644	2.976549	195
1875.143875	49.028290	16.330122	3.002322	196
1876.153760	45.936817	16.321274	2.814536	197
1877.163119	46.247845	16.319235	2.833947	198
1878.169948	46.577606	16.308456	2.856040	199
1879.182691	47.030777	16.323952	2.881090	200
1880.188882	48.900333	16.307888	2.998569	201
1881.202612	49.740265	16.318743	3.048045	202
1882.207761	52.528629	16.278864	3.226800	203
1883.222002	52.290573	16.331345	3.201854	204
1884.227230	53.688042	16.304213	3.292894	205
1885.241376	54.330635	16.322861	3.328500	206
1886.259418	55.306511	16.319157	3.389055	207
1887.259471	54.516979	16.329100	3.338639	208
1888.264685	54.300194	16.275837	3.336246	209
1889.276558	53.943867	16.303940	3.308640	210
1890.282339	54.392399	16.328564	3.331120	211
1891.293920	53.384884	16.308977	3.273344	212
1892.300395	53.567230	16.310846	3.284148	213
1893.325749	53.766975	16.308668	3.296834	214
1894.331853	54.097389	16.305634	3.317712	215
1895.330610	54.169861	16.297049	3.323907	216
1896.336731	54.577606	16.258932	3.356777	217
1897.349515	54.843430	16.267752	3.371298	218
1898.354995	54.563328	16.298222	3.347809	219
1899.368413	56.042721	16.323570	3.433239	220
1900.373470	54.324024	16.311666	3.330379	221
1901.386788	55.928028	16.316589	3.427679	222
1902.392470	54.461163	16.260288	3.349336	223
1903.405179	55.518566	16.323519	3.401140	224
1904.411435	54.657440	16.318630	3.349389	225
1905.422391	54.727768	16.316429	3.354151	226
1906.431318	53.655987	16.323372	3.287065	227
1907.439266	53.670952	16.310461	3.290585	228
1908.450751	52.950489	16.317585	3.244996	229
1909.457281	53.791130	16.318554	3.296317	230
1910.483609	55.463608	16.300426	3.402587	231
1911.475644	55.335907	16.299700	3.394903	232
1912.489731	55.428654	16.307150	3.399040	233
1913.494032	59.219475	16.325212	3.627486	234
1914.508802	59.072174	16.302887	3.623418	235
1915.512497	61.247677	16.304901	3.756397	236
1916.526765	61.663124	16.320515	3.778259	237
1917.530417	61.156746	16.293734	3.753391	238
1918.542156	59.784714	16.308001	3.665975	239
1919.548335	57.679722	16.303003	3.537981	240
1920.558514	56.281876	16.299295	3.453025	241
1921.566744	54.523655	16.283636	3.348371	242
1922.576086	53.855576	16.293295	3.305383	243
1923.598914	55.977757	16.306911	3.432763	244
1924.594447	53.435787	16.301237	3.278021	245
1925.604509	52.495609	16.313656	3.217894	246
1926.613293	53.245449	16.274576	3.271695	247
1927.623721	53.510853	16.303337	3.282203	248
1928.631522	54.164368	16.310732	3.320781	249
1929.642125	54.104507	16.317572	3.315721	250
1930.649619	54.879501	16.275969	3.371812	251
1931.660299	54.699821	16.304790	3.354831	252
1932.667934	54.356552	16.299744	3.334811	253
1933.677911	53.973564	16.308870	3.309461	254
1934.699055	55.979446	16.229498	3.449241	255
1935.695113	52.878418	16.305166	3.243047	0
1936.703757	51.677528	16.303850	3.169652	1
1937.712068	51.372814	16.256878	3.160067	2
1938.722225	50.871780	16.289158	3.123046	3
1939.729586	51.177380	16.304373	3.138875	4
1940.741063	50.413448	16.293606	3.094064	5
1941.760565	55.349354	16.296209	3.396456	6
1942.760520	51.685947	16.310591	3.168858	7
1943.765441	53.075737	16.298532	3.256474	8
1944.779886	53.239979	16.301224	3.266011	9
1945.784119	55.049057	16.286789	3.379982	10
1946.798263	53.979187	16.287708	3.314106	11
1947.802676	55.407368	16.302050	3.398798	12
1948.816042	54.118599	16.294834	3.321212	13
1949.821011	53.891865	16.260485	3.314284	14
1950.832703	52.543743	16.299440	3.223653	15
1951.839188	52.212723	16.294708	3.204275	16
1952.848921	51.196278	16.306345	3.139654	17
1953.857605	50.697544	16.281569	3.113800	18
1954.865879	50.662346	16.297998	3.108501	19
1955.876573	49.997272	16.284502	3.070237	20
1956.883723	51.146122	16.286875	3.140328	21
1957.909550	55.104527	16.310421	3.378486	22
1958.902374	52.660938	16.309816	3.228788	23
1959.915234	52.482578	16.292492	3.221274	24
1960.921022	53.828453	16.286060	3.305186	25
1961.934087	53.789917	16.283447	3.303350	26
1962.939669	55.297451	16.265810	3.399613	27
1963.952510	55.109432	16.310625	3.378744	28
1964.957917	57.161449	16.306734	3.505389	29
1965.970857	55.900616	16.288113	3.431989	30
1966.976369	57.823727	16.294958	3.548566	31
1967.988656	57.570339	16.309401	3.529887	32
1968.994342	58.654957	16.293930	3.599804	33
1970.006707	58.457672	16.284834	3.589700	34
1971.012193	58.817093	16.313179	3.605496	35
1972.024480	58.482197	16.305969	3.586552	36
1973.029542	58.012024	16.279560	3.563489	37
1974.042113	57.877419	16.294870	3.551880	38
1975.047595	56.430954	16.309408	3.460025	39
1976.059489	56.523537	16.279202	3.472132	40
1977.065518	55.296383	16.287764	3.394965	41
1978.076574	55.208378	16.299530	3.387115	42
1979.083848	53.213047	16.306799	3.263243	43
1980.094261	53.445690	16.268438	3.285238	44
