time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
3408.204827	3.116069	2.100442	1.483530	212
3409.207547	3.194308	2.109649	1.514142	213
3410.215889	3.182322	2.101006	1.514666	214
3411.227066	3.155831	2.115448	1.491802	215
3412.229908	3.189599	2.108074	1.513039	216
3413.241855	2.970628	2.091640	1.420238	217
3414.247198	3.088664	2.112154	1.462329	218
3415.254091	2.936134	2.042427	1.437571	219
3416.266902	3.008824	2.053168	1.465455	220
3417.268280	2.978527	2.021663	1.473306	221
3418.284680	3.063384	2.102629	1.456930	222
3419.282088	3.210999	2.101857	1.527696	223
3420.299450	3.138924	2.071855	1.515031	224
3421.300316	3.250171	2.089613	1.555394	225
3422.313588	3.136335	2.081602	1.506693	226
3423.319276	3.285515	2.110804	1.556523	227
3424.326640	3.145719	2.087261	1.507104	228
3425.339226	3.214018	2.071052	1.551877	229
3426.344564	3.247470	2.109274	1.539615	230
3427.358711	3.213950	2.100943	1.529765	231
3428.363029	3.148096	2.032235	1.549081	232
3429.375854	3.049793	2.017377	1.511762	233
3430.378595	3.192812	2.107857	1.514719	234
3431.398908	3.112802	2.113574	1.472767	235
3432.393481	3.168389	2.113115	1.499392	236
3433.406757	3.224414	2.121433	1.519923	237
3434.410189	3.190834	2.108667	1.513200	238
3435.423878	3.292775	2.121431	1.552148	239
3436.427534	3.204277	2.118112	1.512799	240
3437.439143	3.247673	2.100721	1.545981	241
3438.442631	3.158673	2.099515	1.504477	242
3439.452151	3.232954	2.054578	1.573537	243
3440.459506	3.182796	2.117016	1.503435	244
3441.465372	3.257141	2.091537	1.557295	245
3442.479961	3.041733	2.113464	1.439217	246
3443.480467	3.184730	2.107466	1.511165	247
3444.500340	3.023831	2.114639	1.429952	248
3445.498384	3.177128	2.103772	1.510206	249
3446.520475	3.055176	2.094003	1.459012	250
3447.520043	3.154746	2.111687	1.493945	251
3448.543570	3.073910	2.096707	1.466066	252
3449.542037	3.030684	2.105448	1.439449	253
3450.549104	3.139225	2.109912	1.487847	254
3451.560860	3.067615	2.103118	1.458603	255
3452.563582	3.030795	2.108961	1.437104	0
3453.576605	3.013776	2.087877	1.443464	1
3454.580468	2.896217	2.071949	1.397822	2
3455.589584	3.093001	2.095188	1.476240	3
3456.597864	2.968011	2.118016	1.401317	4
3457.609974	3.055379	2.109365	1.448483	5
3458.617064	2.996633	2.090667	1.433339	6
3459.617535	3.153075	2.087546	1.510422	7
3460.634620	3.126656	2.114226	1.478866	8
3461.631934	3.118889	2.108063	1.479504	9
3462.651437	3.197106	2.116745	1.510388	10
3463.648988	3.043229	2.025136	1.502729	11
3464.666887	3.186768	2.106962	1.512494	12
3465.666537	3.148712	2.084141	1.510797	13
3466.682647	3.127111	2.085644	1.499350	14
3467.683105	3.193996	2.118586	1.507607	15
3468.698074	3.194960	2.105203	1.517649	16
3469.698959	3.119463	2.081576	1.498607	17
3470.714365	3.187597	2.117832	1.505123	18
3471.715303	3.167034	2.081517	1.521502	19
3472.731588	3.118587	2.038117	1.530132	20
3473.731445	3.093667	2.030900	1.523299	21
3474.749585	3.259724	2.126807	1.532684	22
3475.749337	3.234457	2.116168	1.528450	23
3476.768034	3.198075	2.090299	1.529960	24
3477.766931	3.241548	2.109360	1.536745	25
