time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4197.028264	217.629135	0.555360	-0.166871	223
4199.043174	217.497665	0.556089	-0.165330	225
4201.056722	217.638321	0.556904	-0.164077	227
4203.071924	217.808945	0.556727	-0.163088	229
4205.091620	217.924744	0.557849	-0.161661	231
4207.107982	218.166290	0.559361	-0.160596	233
4209.123856	218.437729	0.561452	-0.160043	235
4211.139156	218.558777	0.561338	-0.159486	237
4213.156601	218.549225	0.561915	-0.158153	239
4215.173301	218.454346	0.564408	-0.157451	241
4217.189355	218.376572	0.565711	-0.156392	243
4219.204500	218.209000	0.565188	-0.155003	245
4221.223348	217.875687	0.565849	-0.154092	247
4223.244731	217.540176	0.566400	-0.152653	249
4225.265425	217.638885	0.567477	-0.151715	251
4227.283792	218.121277	0.569069	-0.150826	253
4229.300747	218.667740	0.569840	-0.149773	255
4231.315670	218.996689	0.570335	-0.148860	1
4233.331462	218.902695	0.571721	-0.147495	3
4235.346887	218.557724	0.573914	-0.146161	5
4237.361720	218.277252	0.573896	-0.145049	7
4239.376917	218.021500	0.575354	-0.143608	9
4241.393445	217.902023	0.575739	-0.142433	11
4243.410419	218.007645	0.577241	-0.141541	13
4245.427490	218.028183	0.578128	-0.140637	15
4247.444807	218.092285	0.577720	-0.139579	17
4249.462526	218.154358	0.580040	-0.138808	19
4251.479098	218.131744	0.581282	-0.137922	21
4253.495501	218.228989	0.582388	-0.136935	23
4255.511455	218.311584	0.584073	-0.135709	25
4257.527627	218.424072	0.584407	-0.134778	27
4259.543716	218.639160	0.585560	-0.133684	29
4261.560518	218.844666	0.586567	-0.133504	31
4263.578911	219.072006	0.586636	-0.132908	33
4265.599396	219.080429	0.588731	-0.132151	35
4267.619240	218.999939	0.589631	-0.131212	37
4269.637315	218.936508	0.591141	-0.130163	39
4271.653043	218.709457	0.593226	-0.128880	41
4273.667824	218.491470	0.593261	-0.127832	43
4275.682874	218.408997	0.594428	-0.126645	45
4277.698928	218.255600	0.595535	-0.125130	47
4279.715703	218.210724	0.595111	-0.124400	49
4281.732824	218.370270	0.597940	-0.123543	51
4283.749687	218.314941	0.598683	-0.122550	53
4285.766127	218.409790	0.599741	-0.121814	55
4287.782747	218.413162	0.601621	-0.120546	57
4289.799409	218.423935	0.600855	-0.119711	59
4291.816604	218.338028	0.603008	-0.118912	61
4293.834703	218.298553	0.602826	-0.118264	63
4295.852917	218.340836	0.604264	-0.117620	65
4297.871715	218.263184	0.604392	-0.116952	67
4299.890107	218.553253	0.604743	-0.116028	69
4301.908399	218.805695	0.607248	-0.115325	71
4303.925838	219.021652	0.607863	-0.114484	73
4305.942935	219.101624	0.608561	-0.113599	75
4307.959122	218.984207	0.610641	-0.112859	77
4309.975278	218.780685	0.612131	-0.112202	79
4311.990985	218.670746	0.613179	-0.111330	81
4314.006660	218.515289	0.615543	-0.110148	83
4316.022137	218.391846	0.615886	-0.109334	85
4318.038396	218.383194	0.616810	-0.108670	87
4320.055050	218.364273	0.618953	-0.107612	89
4322.071306	218.345230	0.619047	-0.107097	91
4324.087974	218.406479	0.620103	-0.106478	93
4326.104701	218.435120	0.620862	-0.105492	95
4328.121235	218.564011	0.620441	-0.104895	97
4330.137639	218.687698	0.622419	-0.104178	99
4332.153996	218.769043	0.623009	-0.103965	101
4334.171185	218.828735	0.622616	-0.103008	103
4336.189769	218.959045	0.623416	-0.102686	105
4338.209100	218.976562	0.625690	-0.102206	107
4340.228840	218.931976	0.627506	-0.101465	109
4342.247565	218.816406	0.628985	-0.100492	111
4344.264884	218.725906	0.629911	-0.099544	113
4346.280332	218.677017	0.631164	-0.098828	115
4348.295977	218.657410	0.631986	-0.097879	117
4350.310840	218.564499	0.633612	-0.096785	119
4352.326987	218.441803	0.635298	-0.095948	121
4354.343533	218.395874	0.635271	-0.095032	123
4356.360195	218.372543	0.636443	-0.094185	125
4358.377422	218.349960	0.638309	-0.092986	127
4360.394445	218.277100	0.637998	-0.092186	129
4362.411750	218.286316	0.637517	-0.091414	131
4364.429036	218.310760	0.638541	-0.090324	133
4366.446239	218.307449	0.639182	-0.089585	135
4368.463794	218.323929	0.638856	-0.088784	137
4370.481783	218.476883	0.640050	-0.087876	139
4372.499667	218.584885	0.642529	-0.086955	141
4374.517593	218.739120	0.642424	-0.086327	143
4376.535545	218.922485	0.644636	-0.086073	145
4378.552859	218.842010	0.646576	-0.085186	147
4380.570346	218.841721	0.647519	-0.084569	149
4382.587489	218.690933	0.649501	-0.083569	151
4384.604182	218.584930	0.649712	-0.082943	153
4386.620587	218.469391	0.652170	-0.082073	155
4388.637084	218.322311	0.652930	-0.081197	157
4390.653158	218.330734	0.654148	-0.080748	159
4392.669439	218.270737	0.656453	-0.079950	161
4394.685976	218.267288	0.656914	-0.078971	163
4396.702648	218.260529	0.657425	-0.078371	165
4398.719171	218.282028	0.657989	-0.077719	167
4400.736155	218.321655	0.658752	-0.076878	169
4402.753648	218.340576	0.659942	-0.076166	171
4404.770916	218.348282	0.661739	-0.075291	173
4406.789102	218.410477	0.662317	-0.075076	175
4408.807552	218.415863	0.663651	-0.074613	177
4410.826083	218.445557	0.664751	-0.073674	179
4412.843746	218.415787	0.665543	-0.073044	181
4414.861451	218.511017	0.666555	-0.072733	183
4416.877833	218.473969	0.668749	-0.071979	185
4418.894123	218.459900	0.669224	-0.071481	187
4420.909621	218.471375	0.671631	-0.071112	189
4422.925917	218.412460	0.672439	-0.070162	191
4424.942063	218.335083	0.673532	-0.069270	193
4426.958874	218.225723	0.673815	-0.068357	195
4428.974953	218.233475	0.674439	-0.067599	197
4430.992448	218.140991	0.675881	-0.066449	199
4433.009135	218.123520	0.675853	-0.065632	201
4435.026370	218.110641	0.677501	-0.065037	203
4437.043400	218.071609	0.678889	-0.064344	205
4439.061012	218.126572	0.678724	-0.064051	207
4441.078305	218.152115	0.680755	-0.063340	209
4443.096243	218.199585	0.681870	-0.062430	211
4445.113760	218.230118	0.682181	-0.061878	213
4447.131599	218.323502	0.683217	-0.061219	215
4449.149273	218.379349	0.684852	-0.060564	217
4451.166978	218.357040	0.683986	-0.059902	219
4453.184180	218.388016	0.686808	-0.059491	221
4455.201544	218.294052	0.688310	-0.058866	223
4457.218470	218.200668	0.688015	-0.058299	225
4459.235407	218.189423	0.690047	-0.057781	227
4461.252347	218.082275	0.691948	-0.057121	229
4463.268888	218.085953	0.691796	-0.056805	231
4465.285792	218.047195	0.692268	-0.055497	233
4467.302542	217.989365	0.694329	-0.055571	235
4469.319124	218.014465	0.694060	-0.054883	237
4471.336117	218.054413	0.695575	-0.054257	239
4473.353460	218.053574	0.697396	-0.053501	241
4475.370369	218.010849	0.697737	-0.052761	243
4477.387786	218.010696	0.697516	-0.052278	245
4479.405677	218.048508	0.700205	-0.051619	247
4481.423365	218.027283	0.701504	-0.051083	249
4483.440842	218.048233	0.702537	-0.050886	251
4485.458248	218.037354	0.704463	-0.050196	253
4487.474915	218.069153	0.704140	-0.049752	255
4489.491559	218.060944	0.706303	-0.049262	1
4491.507823	218.114517	0.707621	-0.048895	3
4493.524020	218.151428	0.707357	-0.048563	5
4495.540249	218.122375	0.708410	-0.048030	7
4497.556707	218.111176	0.709432	-0.047162	9
4499.573447	218.024246	0.710567	-0.046808	11
4501.590408	218.039261	0.710333	-0.046015	13
4503.607412	217.990433	0.710916	-0.045375	15
