time (s)	coil I (A)	last det (V)	int current (uC)
10034.490832	1.327449	0.186866	582.750000
10034.491750	1.806958	0.186866	2241.537598
10034.492661	1.770362	0.186866	3854.337891
10034.493586	1.716841	0.186866	5442.415527
10034.494493	1.665150	0.186866	6952.707031
10034.495390	1.217977	0.186866	8045.232422
10034.496281	0.123325	0.186866	8155.115234
10034.497219	0.095581	0.186866	8244.770508
10034.498120	0.095526	0.186866	8330.839844
10034.499019	0.095464	0.186866	8416.662109
10034.499910	0.095577	0.186866	8501.821289
10034.500854	0.095588	0.186866	8592.056641
10034.501765	0.095497	0.186866	8679.054687
10034.502666	0.095515	0.186866	8765.114258
10034.503603	0.095544	0.186866	8854.639648
10034.504504	0.095610	0.186866	8940.784180
10035.498450	1.337765	0.186076	597.980896
10035.499348	1.806943	0.186076	2220.615967
10035.500288	1.769579	0.186076	3884.020020
10035.501202	1.715922	0.186076	5452.372559
10035.502110	1.664454	0.186076	6963.697266
10035.503001	1.195192	0.186076	8028.613281
10035.503967	0.109988	0.186076	8134.861328
10035.504872	0.095431	0.186076	8221.226562
10035.505763	0.095555	0.186076	8306.366211
10035.506682	0.095585	0.186076	8394.208984
10035.507588	0.095640	0.186076	8480.858398
10035.508483	0.095515	0.186076	8566.344727
10035.509378	0.095559	0.186076	8651.870117
10035.510315	0.095544	0.186076	8741.395508
10035.511222	0.095574	0.186076	8828.081055
10035.512128	0.095486	0.186076	8914.590820
10036.511205	1.363121	0.202447	627.035828
10036.512115	1.806987	0.202447	2271.394287
10036.513009	1.769539	0.202447	3853.361816
10036.513961	1.715237	0.202447	5486.267090
10036.514866	1.663165	0.202447	6991.431641
10036.515776	1.166191	0.202447	8052.666016
10036.516703	0.115371	0.202447	8159.615234
10036.517610	0.095522	0.202447	8246.253906
10036.518510	0.095449	0.202447	8332.158203
10036.519403	0.095574	0.202447	8417.505859
10036.520358	0.095610	0.202447	8508.813477
10036.521255	0.095548	0.202447	8594.520508
10036.522153	0.095541	0.202447	8680.316406
10036.523038	0.095490	0.202447	8764.824219
10036.523986	0.095625	0.202447	8855.476562
10036.524888	0.095526	0.202447	8941.641602
10037.520908	1.383274	0.180481	699.936646
10037.521815	1.806984	0.180481	2338.870605
10037.522734	1.766547	0.180481	3962.326904
10037.523632	1.713651	0.180481	5501.185547
10037.524598	1.659412	0.180481	7104.177246
