crossing time (s)	slope (V/s)	crossing number
10033.140322	2.487264	9064
10034.156937	2.716517	9065
10035.160604	2.523020	9066
10036.174639	2.590112	9067
10037.184400	2.757724	9068
10038.192284	3.028608	9069
10039.201352	3.183062	9070
10040.206303	3.022251	9071
10041.218162	2.703841	9072
10042.223693	2.469889	9073
10043.240507	1.954581	9074
10044.245533	2.128900	9075
10045.261421	2.589021	9076
10046.265048	2.800944	9077
10047.276030	2.844878	9078
10048.282934	3.245501	9079
10049.290818	3.086473	9080
10050.298024	3.236847	9081
10051.307073	3.070684	9082
10052.318933	3.025430	9083
10053.324979	2.995416	9084
10054.340186	2.793381	9085
10055.345247	2.867953	9086
10056.365688	2.481287	9087
10057.368015	2.714387	9088
10058.389193	2.864041	9089
10059.389080	2.962873	9090
10060.408177	3.074542	9091
10061.407357	3.085011	9092
10062.425520	2.677199	9093
10063.428772	2.794910	9094
10064.440313	3.074361	9095
10065.448552	3.073910	9096
10066.457076	2.748380	9097
10067.469100	2.720431	9098
10068.477051	2.996348	9099
10069.492061	3.081184	9100
10070.496700	3.203422	9101
10071.512782	3.127455	9102
10072.515811	3.002747	9103
10073.532418	2.730723	9104
10074.533905	2.723955	9105
10075.550938	2.643515	9106
10076.552845	2.604891	9107
10077.568898	2.610473	9108
10078.570245	2.798328	9109
10079.584936	2.885427	9110
10080.587795	3.069147	9111
10081.602710	2.694545	9112
10082.605252	2.916202	9113
10083.624071	2.333441	9114
10084.626998	2.554386	9115
10085.646465	2.041942	9116
10086.649598	2.166391	9117
10087.668183	2.147251	9118
10088.671180	2.092478	9119
10089.690558	2.519715	9120
10090.691466	2.004007	9121
10091.717606	3.216543	9122
10092.703258	2.111019	9123
10093.741459	4.055888	9124
10094.747921	3.779951	9125
10095.753033	3.638618	9126
10096.764700	3.630719	9127
10097.756190	2.481279	9128
10098.780705	3.516096	9129
10099.776551	2.807691	9130
10100.792881	3.413754	9131
10101.792344	3.311510	9132
10102.809990	3.313094	9133
10103.813796	3.434202	9134
10104.832635	3.711013	9135
10105.838922	4.066940	9136
10106.853370	4.503259	9137
10107.860611	4.607201	9138
10108.870991	4.475675	9139
10109.879619	4.508792	9140
10110.889337	4.474097	9141
10111.899686	4.561583	9142
10112.906188	4.503217	9143
10113.916933	4.700137	9144
10114.922905	4.437934	9145
10115.934279	4.456520	9146
10116.941004	4.071220	9147
10117.952548	4.024041	9148
10118.959871	3.980467	9149
10119.971478	4.053481	9150
10120.979966	4.151359	9151
10121.989419	4.122377	9152
10122.997809	4.251450	9153
10124.006944	4.225217	9154
10125.018122	4.276958	9155
10126.025438	3.987316	9156
10127.037385	3.978669	9157
10128.042909	3.847851	9158
10129.057598	3.786776	9159
10130.060725	3.309459	9160
10131.076950	3.452607	9161
10132.079745	3.326490	9162
10133.094433	3.310565	9163
10134.094667	3.261479	9164
10135.107892	3.345980	9165
10136.109433	3.898991	9166
10137.120609	3.955562	9167
10138.126580	4.232072	9168
10139.136259	4.331448	9169
10140.146063	4.472201	9170
10141.155365	4.663281	9171
10142.168297	4.437431	9172
10143.174828	4.495822	9173
10144.190348	4.233973	9174
10145.195551	4.289753	9175
10146.212046	4.052743	9176
10147.216097	4.016783	9177
10148.232662	3.809059	9178
10149.235411	3.848092	9179
10150.252465	3.808867	9180
10151.255356	3.706032	9181
10152.271224	3.617159	9182
10153.273583	3.502216	9183
10154.290621	3.421906	9184
10155.293292	3.265917	9185
10156.310392	3.498306	9186
10157.312794	3.374354	9187
10158.330543	3.414876	9188
10159.334063	3.383931	9189
10160.350923	3.727432	9190
10161.354517	3.356201	9191
10162.371855	3.872296	9192
10163.377006	3.810066	9193
10164.390733	4.193332	9194
10165.398382	4.191719	9195
10166.408529	4.331686	9196
10167.417995	4.366175	9197
10168.423124	4.316710	9198
10169.435059	4.633024	9199
10170.437230	4.219797	9200
10171.450821	4.382977	9201
10172.451966	4.268826	9202
10173.467377	4.190453	9203
10174.468315	4.184565	9204
10175.486335	3.882880	9205
10176.488282	4.067618	9206
10177.504335	4.127481	9207
10178.507763	4.174508	9208
10179.523001	4.124801	9209
10180.529619	4.316365	9210
10181.542291	4.326238	9211
10182.549126	4.316427	9212
10183.559532	4.294454	9213
10184.569849	4.396682	9214
10185.578216	4.377028	9215
10186.587332	4.536563	9216
10187.595773	4.265575	9217
10188.605168	4.453073	9218
10189.614347	4.459072	9219
10190.623130	4.353940	9220
10191.632037	4.423215	9221
10192.640941	4.332716	9222
10193.650365	4.442363	9223
10194.659288	4.301703	9224
10195.669981	4.506203	9225
10196.676729	4.414398	9226
10197.688615	4.451703	9227
10198.694740	4.185898	9228
10199.707773	4.323721	9229
10200.712678	3.979821	9230
10201.726444	3.963245	9231
10202.729871	3.891583	9232
10203.744931	3.758564	9233
10204.746628	3.589324	9234
10205.760847	3.632810	9235
10206.762524	3.934736	9236
10207.775854	3.888056	9237
10208.778710	4.136810	9238
10209.789676	4.585344	9239
10210.795740	4.731681	9240
10211.806217	5.059168	9241
10212.815010	5.055484	9242
10213.824272	5.311229	9243
10214.835516	5.183738	9244
10215.843463	5.299736	9245
10216.856907	5.204160	9246
10217.862752	5.075767	9247
10218.877557	4.952259	9248
10219.882906	4.916693	9249
10220.897573	4.942000	9250
10221.902359	4.702022	9251
10222.917143	4.812474	9252
10223.919961	4.802755	9253
10224.936557	4.858039	9254
10225.940720	4.640919	9255
10226.955917	4.776520	9256
10227.959211	4.561848	9257
10228.974948	4.833251	9258
10229.978803	4.601647	9259
10230.992648	4.611117	9260
10231.997935	4.557779	9261
10233.010838	4.813697	9262
10234.017891	4.348069	9263
10235.029831	4.914087	9264
10236.038321	4.875070	9265
10237.046685	5.010866	9266
10238.056547	5.065861	9267
10239.062800	5.009716	9268
10240.073957	5.046922	9269
10241.078925	4.761418	9270
10242.090291	5.077309	9271
10243.093653	4.807046	9272
10244.107379	4.589587	9273
10245.110469	4.605788	9274
10246.126383	4.519421	9275
10247.128995	4.448468	9276
10248.145387	4.291263	9277
10249.149201	4.306470	9278
10250.164483	4.308435	9279
10251.169429	4.174962	9280
10252.184189	4.401574	9281
10253.190165	4.258215	9282
10254.202142	4.494638	9283
10255.209143	4.386449	9284
10256.220890	4.544071	9285
10257.228345	4.419030	9286
10258.239009	4.742299	9287
10259.247211	4.486688	9288
10260.257216	4.684109	9289
10261.265510	4.502598	9290
10262.274580	4.680169	9291
10263.283634	4.492726	9292
10264.294124	4.503278	9293
10265.301602	4.425928	9294
10266.311049	4.478048	9295
10267.318032	4.287358	9296
10268.329821	4.469835	9297
10269.335355	4.240486	9298
10270.348489	4.270186	9299
10271.352788	4.068341	9300
10272.367131	4.309833	9301
10273.369978	3.980516	9302
10274.383890	4.206787	9303
10275.386164	4.102376	9304
10276.400761	4.098565	9305
10277.402850	3.973662	9306
10278.416937	4.299251	9307
10279.418593	4.513911	9308
10280.432107	4.587122	9309
10281.436931	4.802726	9310
10282.448016	4.973977	9311
10283.454556	5.334726	9312
10284.465723	5.486047	9313
10285.473699	5.643765	9314
10286.483753	5.741545	9315
10287.492971	5.689542	9316
10288.502499	5.862149	9317
10289.513353	5.733824	9318
10290.520380	5.705935	9319
10291.532996	5.731580	9320
10292.540535	5.694433	9321
10293.552929	5.650785	9322
10294.558775	5.607548	9323
10295.571942	5.856713	9324
10296.577290	5.631900	9325
10297.590820	5.830134	9326
10298.596173	5.505757	9327
10299.608767	5.737529	9328
10300.614095	5.635283	9329
10301.626890	5.786180	9330
10302.632719	5.536762	9331
10303.643868	5.690440	9332
10304.649735	5.876794	9333
10305.661150	5.866974	9334
10306.669325	5.839397	9335
10307.677675	5.861478	9336
10308.686662	5.961446	9337
10309.694531	5.976897	9338
10310.704988	6.001458	9339
10311.711239	5.715103	9340
10312.722696	5.830396	9341
10313.728224	5.780008	9342
10314.740029	5.631700	9343
10315.744364	5.376442	9344
10316.757799	5.231472	9345
10317.762543	5.129273	9346
10318.776836	4.900172	9347
10319.779957	4.917064	9348
10320.795392	4.924816	9349
10321.799176	4.840376	9350
10322.814115	4.827388	9351
10323.817600	4.543943	9352
10324.831179	4.879922	9353
10325.837583	4.336627	9354
10326.849585	4.901184	9355
10327.857807	4.697456	9356
10328.867776	4.953243	9357
10329.875369	4.820884	9358
10330.885655	5.120103	9359
10331.893256	4.771321	9360
10332.902796	4.981456	9361
10333.910969	4.998665	9362
10334.922172	5.110757	9363
10335.928438	4.868178	9364
10336.939362	5.037160	9365
10337.945807	4.880347	9366
10338.957120	4.961721	9367
10339.962550	4.613730	9368
